,title,artist,showname,date
378,This Love (Taylor's Version),Taylor Swift,The Sound Between,2022-05-12
379,Funeral,Wallice,The Sound Between,2022-05-12
380,Wildest Dreams (Taylor's Version),Taylor Swift,The Sound Between,2022-05-12
381,Everybody Knows - Live,"First Aid Kit, Frida Hyvonen",The Sound Between,2022-05-12
382,Risk of Getting Hurt,Sigrid,The Sound Between,2022-05-12
383,Schizophrenic Playboy,The Cranberries,The Sound Between,2022-05-12
384,Male Feminist,Shilpa Ray,The Sound Between,2022-05-12
385,Running Up That Hill,Car Seat Headrest,The Sound Between,2022-05-12
386,The Last Man On Earth (Lullaby Version),Wolf Alice,The Sound Between,2022-05-12
387,damn,Ada Lea,The Sound Between,2022-05-12
388,Wood Wood,Young Thug,Monotonic,2022-05-11
389,I'm Ready,The Diplomats,Monotonic,2022-05-11
390,Woi,DIgga D,Monotonic,2022-05-11
391,Chillin' Wiv Da Man Dem,Dizzee Rascal,Monotonic,2022-05-11
